idx,prompt,prompt_cont,gen

0,There are many farms crowding the area,", which all produce milk and pork."," in the middle of the city.
"
1,Her father kept bringing her various medical, treatments and nothing had ever worked.," texts, so she finally got to"
3,tin foil hat for the sarg,", what size do u wear?","ent, and the

c"
4,The toaster Tom had bought, from him didn't work.,", the one with the metal"
5,Where is there a very active tradition of hunting, of small to medium-sized wild game?," in the north of England?

I"
6,a rarity among recent iranian films : it's a comedy full, of gentle humor that chides the absurdity of its protagonist's plight.," of humour, and the humour is quite original, and not just a joke"
9,the film is not only a love song to the movies but it also is more fully an example," of the kind of lush, all-enveloping movie experience it rhapsodizes ", of the many ways in which the cinema has been used to make the audience love the movies.
10,Either an Analysis that covers a lot, of cases or a very rigorous analysis, of ground and is a bit of
12,"At her subsequent trial, the case against Tulisa collapsed at Southwark Crown Court in July 2014, with the judge commenting that there were ""strong"," grounds"" to believe that Mahmood had lied at a pre-trial hearing and tried to manipulate evidence against the co-defendant Tulisa."," grounds for a finding of guilty"" and that the prosecution had made ""a very serious error in the way it presented its case"".

In"
13,The father carried the sleeping boy, in the father's arms., in his arms as they went
14,CCC says ten substantive changes have been, made that would affect recordkeeping requirements.," made to the contract.

The"
16,"Asphalt/bitumen is used to make Japan black, a lacquer known especially for its use on iron and steel, and it is also used in paint and marker inks by some graffiti supply companies to increase"," the weather resistance and permanence of the paint or ink, and to make the color much darker.[citation needed] Asphalt/bitumen is also used to seal some alkaline batteries during the manufacturing process."," the durability of these materials. It is also used to make a range of other products, such as furniture, toys, and toys and games, as well as for the production of a range of other products, such"
17,a slam-bang extravaganza that is all about a wild,"-and-woolly, wall-to-wall good time. "," ride through the desert.

The film is a very different beast from"
18,you have to give the audience a, reason to want to put for that effort," reason to watch the show, you have"
19,There was a plan that we would visit, Glasgow today but the weather is terrible., the site of the old temple of the
20,Ablright's Jewish cousin is, a 21 year old man named George., a very cool guy. He came to
21,How many inches of rain does, central Nigeria get each year?, it take to kill a person
23,"The table was piled high with food, and on the floor beside it there"," were crocks, baskets, and a five-quart pail of milk."," was a pile of empty plates.

""You're too late,"" said"
24,There's a hole in the tarp,aulin which that stone is holding down.," that's not visible from the outside."" """
26,Why is stressed out the only popular twenty one pilots song? They," have many other beautiful, why is stressed out the only one?",'ve got a song called 'I've Got a Gun' which
27,Will image quality be worse if, my lense has more glass?," I use a larger screen?
"
28,In the unlikely event that the Electoral College throws," the vote, how soon will we know?"," its vote away, the outcome of the election"
29,"It's likely that Tom will win,", but it's not clear which race., but it's still a long shot.
32,What effects will trade sanctions imposed on and by, Russia have on the U.S. economy?, the Russian Federation have on the economy of the United
33,What NFL teams have won, the most Super Bowl rings?," the Super Bowl?

"
34,"The conventional therapy is counseling or medication, but now there is a new tool,"," one that puts the soldiers through the trauma again, only this time in virtual reality."," the virtual reality therapy, which can help patients to recover from their depression.

"
35,How does the process in which Japanese grow, watermelon differ from the process Koreans use?," their own food affect the environment?

"
36,This theory captures that arrows don,'t stop in midair.,’t have to be
38,A tan dog licks a, girls hand while laying down., dog's face. This is
39,What basic difference is there between the, teams of Barcelona and Real Madrid?, terms “loyalty�
40,Who released a guideline that recommends that, people follow a whole plant food diet?, the government should not provide food stamps to
43,It proves that John was, lying that he left town.," right.

In the"
44,"this is a shameless sham, calculated to cash", in on the popularity of its stars. ," in on the fear of the people, and"
45,"Can I abscond from work, I have been working in a company"," for only 2 months, and I think I am not a perfect fit here?", for the past 5 years and I have been a part of the team since the
46,you have no remains of an, A- at the pentagon.," earlier life.

The same"
47,"In the United Kingdom, BBC Radio 5 Live", and 5 Live Sports Extra will carry the contest., is the only broadcast radio station to be owned by
48,"At 5:30 p.m. on Thursday, 10-15 UFOs were spotted over north London in the inner-city district of Islington. The Islington police said they started receiving phone calls only minutes after the objects started appearing. 34 year-old market stall trader Alix McAlister, who witnessed the objects, said that, ""I just picked up my son from nursery in Bredgar Road.", I had just come out of the door when I noticed what was going on in the sky. There were a group of them - 10 to 15 of them moving together. My first impression was that they reminded me of a squadron of aeroplanes in formation. But they didn't have a proper formation and they were all moving at the same speed. I thought for a while that something was happening in the centre of London.," I was really scared, I didn't know what to do, I was just panicking."" The UFO was seen by a man in a van who said he thought it was a police car.

The UFO was seen by a man in a van who said he thought it was a police car. The UFO was seen by a man in a van who said he thought it was a police car. The UFO was seen"
50,What are the most interesting products and innovations that, Bank of America is coming out with in 2016?," have been developed in the last year?

"
51,"We have no idea about a time between roughly 300,000 and 1"," billion years after the Big Bang, when the universe was very hazy.",".5 million years ago, but it is certainly possible that our species evolved"
52,It was not until the 1930s that the, Supreme Court held a delegation of authority unconstitutional., first two-part series of detective novels were
53,The company will offer songs for 99 cents, and albums for $9.95.," a pop, with a $5 minimum"
54,Who has tried self hypnosis,? And how does it work?,"?

I have tried to"
55,Google search for Travel WODs has, whole lots of results which you can use., a lot of good ones. Here are the
57,"The other, al-Azhar, did acquire this status in name and essence only in the course of numerous reforms during the 19th and 20","th century, notably the one of 1961 which introduced non-religious subjects to its curriculum, such as economics, engineering, medicine, and agriculture.",th centuries. The most important of these reforms was the establishment of the principle of the equality of all religions and the principle of the freedom of conscience
59,Is it sure that I will get my class, 12 improvement admit card delivered to my address?," tomorrow?"" ""I have to go to the"
60,I don't believe there was any, iceberg at all anywhere near the Titanic., reason for him to be there. He
61,Financial firms now offer internally focused, products that help improve business success.," services, such as a global risk"
62,"Frank may have told Chet,"," and Joe may have, too.", but he didn't say it.
64,Most columnists claim that a senior, White House official has been briefing them., editor is the most important person in the
65,to convince the audience that these br,ats will ever be anything more than losers,ides are not just any old maids
68,has a shambling charm... a, cheerfully inconsequential diversion.,"
""Homeric"" quality"
69,What are some topics that you just cant, ignore while preparing for iit jee?," stand talking about?

We are going"
70,About half of all U.S,. households have money in mutual funds.,". adults are overweight or obese, and"
72,"They also presented Jesus –  ""As it is written in the law of the Lord, Every male"," that openeth the womb shall be called holy to the Lord"" (Luke 2:23other verses)."," among you shall be as a woman, and the woman shall be your leader"" (Genesis 1:"
73,Does Dropbox Mobile use mobile data? Is there any, setting so that it syncs only on WiFi?," way to know?

I have been using"
74,It was a fine selection, of Goethe's writing.," of wines, and I'm"
75,"the chateau belongs to rudd, whose portrait of a therapy-dependent fl",akeball spouting french malapropisms... is a nonstop hoot. ,amboyant young man is a typical example of the kind of work that he did.
77,If checks are not written to Indiana University," Foundation, there will be an issue.","'s checking account, they are deposited into"
78,"While local cab drivers had compliments, not everyone appreciated the company. The Chicago Cubs decided to cancel their booking after hearing about the con, and J.J. Hardy of the Milwaukee Brewers reported being kept up by fans on Wednesday night. The Brewers"," lost their game the following day. The convention closed with next year's date ―June 26-29 ―along with the announcement of a guest: Disney animator Floyd Norman. The event's theme will be ""It's a Jungle Out There!"".",", who had a 10-year-old daughter with a fan in the stands, said they were ""shocked"" by the incident.

The Brewers, who had a 10-year-old daughter with a fan in the stands,"
79,During the 1950s there was a citywide festival called Fiesta, del Pacifico highlighting the area's Spanish and Mexican past., de la Paz (Festival of Peace) in Guatemala
80,Prime Minister Allawi will return to Iraq, in time for the country's national conference.," on Sunday, the Iraqi Prime Minister said on"
81,Is it more difficult to find a job in a city I don't live in than a," city I do live in, even if I'm willing to pay my own relocation costs?"," city I do?

I'm a single mum and I have a baby daughter in"
82,Latin and Euro-American rhythms, are both present in discos.,".

The first time I"
84,there has been much puzzlement among, critics about what the election symbolizes.," the
      "
85,"""With Leukemia"" is a website bringing parents together world",-wide to share experiences on caring for children who have leukemia.,"-wide in support of children with Leukemia.

Monday"
86,at the state scientific center of applied microbiology there is every kind of deadly bacteria that, was studied for use in the secret biological weapons program of the soviet union., can be found in a hospital. The bacterial infections are spread by the patient's body
87,"In the early Olympic games, athletes used to run a mile and then recite a poem. The first poet-in-residence of an English football team, Ian McMillan, remarked that football chants are like huge tribal poems. Generally, though, sport and poetry have never seemed natural companions in human enterprise. Until the New York Mets baseball team suffered in 2007"," arguably the worst collapse in Major League Baseball history. To describe the anguish fans felt, The New York Times turned to a poet, Frank Messina. ""Nothing was really representing the fan's point of view,"" Messina told Wikinews reporter David Shankbone in an interview. ""There's a lot of hurting people out there who can't express what happened."""," and 2008, it was a rare team that had a poet on its roster. The Mets had a poet on their roster for each season, but they had never had a poet as the team's manager.

The Mets were the first team to have a poet as manager. He was fired in 2008, but the Mets still managed to win the World Series in"
88,My meeting started at 4:00 and I needed to catch the train at 4:30,", so there wasn't much time. Luckily, it was delayed, so it worked out.",".

I’m not a huge fan of the train ride because I have a"
89,From what I'm seeing it's generally accepted that most English, speakers have a vocabulary size of 15000 to 20000 words., speakers would not be able to understand the words in the sentence.
91,Blair is sorry for anyone who, has lost their lives in Iraq.," was hurt by the comments.
"
92,The college coaches have the most responsibility to decide," which players have a problem, not the NCAA", the outcomes of their games. They are the
93,"There is a total of 12,800 Buddha statues here, plus", the remains of the monastery's founder embalmed in gold leaf., a few more than that. It’s not a particularly large
94,and EDS is very particular about this hair cuts i mean it was like you can,'t have you know such and such facial hair no beards you know and just really detailed,"'t get anything else on the market

I'm not sure if this is the right"
96,I put the cake away in the refrigerator., It has a lot of butter in it.,"

I put the cake in the oven"
97,What traditional schooling has been considered modeled, after the traditional Islamic graduate schools?," after.

“The"
98,Participation in the Premier League by some Scottish or," Irish clubs has sometimes been discussed, but without result.", Irish clubs has become a way of life for a number
99,Anson thought that he, had bought the paint stripper," had seen the light, but"
100,"Jane knocked on Susan's door, but", there was no answer. She was out.," Susan didn't answer. Instead, she stood"
101,"I finished a web intensive program, and I've been looking for a job in web development.", I realize I don't really know the web development work environment. How can I get this experience?," I've been following the web development job board, and I've been browsing through job postings. I"
102,"Michael said that Pinochet came to Britain with a passport that does not require a visa, and it is likely that he may have presented, supported"," with evidence, medical reasons for requiring treatment and therefore, there was no reason for immigration authorities to prevent him from entering the country upon his arrival.",", or even been in some way complicit in the torture of political prisoners in Chile.

The Chilean government has said that it is investigating the"
106,Ebola Epidemic, breaks out in Zaire., in Liberia: The Challenges and
107,"On Sunday Memoirs: 1939-1993 a memoir written by former Prime Minister of Canada Brian Mulroney will be released. The 1,152 page tome outlines Mulroney's version of events during his time as prime minister. CTV will broadcast a documentary on Brian Mulroney on the eve of his book launch. In addition,"," the network plans to air Triumph & Treachery: The Brian Mulroney Story on Sunday, CTV says the 90-minute special will be the most complete interview the former prime minister has ever given and his first comprehensive interview since leaving office in 1993. The Quebec French language TVA network will air a similar documentary exclusively in French later that night."," a new book from the former Prime Minister will be released on Monday.

The memoir, which will be published by the University of Toronto Press, will be the first to feature interviews with Mulroney's wife, Jean, and his children, including his son, Michael, and his daughter-in-law, Diane. The book will also be"
108,uh no uh no no i do have a place, that's rusting i need to get something on it, to stay for a few days now. i'm just
110,"In particular the Shiva Sutras, an auxiliary text to the Ashtadhyayi, introduces what can be considered a list of the phonemes"," of the Sanskrit language, with a notational system for them that is used throughout the main text, which deals with matters of morphology, syntax and semantics."," of the language. The Sutra lists the vowels, consonants, and the consonant clusters and their combinations.

The Sutra is a"
111,After Hedges' microphone was unplugged for a second time,", Pribbenow told him to wrap up his speech.",", he stood up. ""I'm going to go get a"
113,"Government forces killed the head of the Armed Islamic Group, or GIA",", which has claimed responsibility for killing 61 foreigners in the last year.",", in a raid in the northern province of Idlib, Syria, on"
114,"The ACS, developed jointly by four American agencies, was installed in March of 2002. It is a system of three cameras, filters, and dispersers which act to detect wavelengths of light ranging from near-infrared to ultraviolet. It is a system that was designed to last five years, according to Preston Burch, associate director and program manager for the Hubble", Space Telescope. NASA also indicated that the other four main systems on the telescope remain unaffected and functioning normally. Research work will resume this week using those systems. A scheduled mission to the space telescope in 2008 is expected to deliver instruments to further upgrade the capabilities of the telescope. It is not known what the effect of the ACS failure will have on the scheduled mission.," program at the Space Telescope Science Institute (STScI).

Burch was not surprised that the ACS is still in use. “It’s a very good system,” he says. “It’s a very good system for detecting the faintest objects.”

The ACS is a system that was designed"
115,Grandma had set a place for Mary; and once Mrs.," Wyman was seated, she pulled her, protesting, to it.","
Bartram had taken her to the room, she was now"
116,Exclusive-UPDATE 2-Egypt pro,-Mursi alliance signals flexibility in talks,"-democracy protests-1

The pro"
117,Microsoft will stop developing versions of its Internet Explorer browser software for Macintosh," computers, saying that Apple's Safari is now all that Apple needs."," computers, Microsoft officials said.

The decision, which was made"
118,The thief who was seized by the, police turned out to be our cousin.," police at the entrance of the
house"
119,Mr Sahel said police had identified the bodies of seven of the 14-,strong cell believed to have carried out the five almost simultaneous attacks on Saturday.,year-old boys and that the others may have died of other causes.
120,"After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm. She did not"," mention the incident at the Hamilton bus station, knowing it would only add to Mrs. Gruen's uneasiness."," want her to be alarmed, but she did want to be sure. She asked the housekeeper to do her best to"
121,Rick Dinon is the senior vice, president of 20th Century Insurance Co., president and chief financial officer for the Atlanta
122,Nations like Israel and, Australia already have such status., the United States of America have
123,"Has anyone ever gotten to middle age, had little experience but was not", happy with what they were doing for an occupation the last 25 years?," afraid to take risk and get hurt?

I have. I"
125,Muriel has a famous painting of a ballerina by Cec,ile d'Arblay hanging in Muriel's living room.,"ile Pissarro, and a statue of her by a local sculpt"
126,A higher price was paid for beer in the snug, and nobody could look in and see the drinkers.," of the tavern.

The man with the"
127,John thinks that it is appropriate for there to, be a picture of himself in the corridor., be an election of the members of the board
128,"Aside from Walpole, who else denied that", there was no such thing as the prime minister?, he was responsible for the death of the boy?
129,How did Alexis de Tocqu,eville describe the French Revolution?,eville get around the British?
130,Who did Bill say Frank claimed that Mary, seems to have been likely to have kissed?, was the only one who could have saved him
131,"During the weekend of Sunday 28 December the 75 year old children's clothes retailer, Adams Childrenswear called in administrators PricewaterhouseCoopers. Adams had previously been placed in administration with PricewaterhouseCoopers in 2006, but was rescued by Northern Irish businessman John Shannon in February 2007. A large rebranding followed in 2008, after 42 stores"," were closed. Adams has outlets worldwide in places such as Saudi Arabia, and also makes clothing under the Mini Mode brand for Boots. At the time of the 2008 administration there were 260 stores in the UK and 116 outlets overseas, employing around 2000 people. Adams is reported to owe around £20 million to Mr Shannon and £10 million to Burdale."," were sold to a US-based company, and the company was re-named Adams Childrenswear.

In 2009, Adams Childrenswear was sold to a new company, Adams Group, with the new owners having the option to buy out the existing shareholders. In 2011, Adams Group was sold to a group of investors led by investment firm,"
132,"I am in a relationship with a girl. She wants to spend her whole life with me. I love her too, but I am not sure whether I am going to marry her."," If I told her about my unsureness about marriage, she would definitely leave me. I don't want to lose her. I am very confused. Can anyone give me any suggestions?"," I am thinking about her. I love her, but I don’t know if I will be able to spend my whole life with her. I don’t know if"
134,Which foods are safe to, eat that have freezer burn?," eat when pregnant?

"
135,"Stars are rotating, but that's", not the cause for their stability., not the real story. The real
136,What does it feel like to see, a girl orgasm for the first time?, a new game released for the PS3
137,"What If I join for any CGL posts, would I", able to live a good retirement life after my tenure is over?," be able to edit my profile?

A:

"
141,What government set standards do, all schools have to meet?," we need?

The"
142,"Three years ago, Anurag was thrice as old as Bhargav was. Two years hence,", Anurag's age will be twice that of Bhargav's age. What is the present age?," he would have been twice as old as the two of them. He had been born before their time, he"
143,I think you need to apply, a little statistical thinking to this., some common sense to your question.
145,"In 2001, El Salvador adopted the U.S. dollar as its currency,", while Panama has used it for decades due to its ties to the Canal Zone.," adopting the Latin American unit of account in 2002. In addition, the country adopted"
147,What are there besides degrees, of similarity with Occitan?,"?

A:
"
148,"But the point is, does", anyone here go by Rita?, anyone have a good idea how
149,Mary took out her flute and played one of her favorite, pieces. She has loved it since she was a child.," songs, ""Ave Maria.""

""I'm"
150,How many players on the Barel,ona team have scored over 100 goals?,u team had to be brought in on
152,Wages are not rising at, the same rate as inflation., the fastest pace in nearly a
153,"I sat there feeling rather like a chappie I'd once read about in a book, who murdered another cove and hid the body"," under the dining-room table, and then had to be the life and soul of a dinner party, with it there all the time.", in a field of pines. I didn't know that the pines were also the culprit. And I didn't know that the cove
154,How can I succeed at Computer Science if I'm, not too good at Math and Have never done Physics?," not a good programmer?

I am a junior"
155,"Tropical Storm Arthur is projected to weaken tonight, but it will likely regain strength after entering the Bay of Campeche on Sunday.The 2008 Atlantic  hurricane season got off to an early start today when a tropical storm formed off the coast of Belize, one day before the season officially begins. Tropical Storm Arthur formed Saturday afternoon and"," quickly made landfall at the Yucatan Peninsula, near the border between Belize and Mexico. Both  countries issued a tropical storm warning for the peninsula's eastern coastline. In the Mexican state of Quintana Roo, ports were closed to small boats,  water sports were banned, and those living in coastal areas were encouraged to take precautions.", quickly intensified.The storm was an area of low pressure and was moving west at about 10 to 12 mph. The storm had a minimal central pressure of 925 millibars. The storm began to organize into a tropical depression late Saturday afternoon. Arthur strengthened and was moving northwest at 10 to 12 mph by early Sunday afternoon.Arthur strengthened into a
156,"I was trying to open the lock with the key, but someone had filled"," the keyhole with chewing gum, and I couldn't get it out."," the lock with dust and the key fell out, so I was stuck."
157,"A Chilean expert points out that the 1987 Montreal Protocol has not been effective in arresting the destruction of the ozone layer in the earth's atmosphere, resulting in the unprecedented size of the ozone hole this"," year, and causing 120,000 people in Chile to be on yellow alert for ultraviolet radiation (meaning a fair-skinned person would get burnt within 10 minutes of being exposed to the sun)."," year.

The Montreal Protocol, which was signed in 1987, was a treaty that aimed to eliminate the ozone layer by controlling the amount of ozone that is formed by chemical reactions in the"
158,"The same source said that Cohen, who was received by the Prime Minister and Minister of Defense, Fayez Al-Tarawneh, will"," hold talks especially with Jordan's Crown Prince, Prince Al-Hassan Bin Talal, who represents King Hussein in running the country's affairs."," be appointed the new ambassador of the country to the United Nations.

The source said that the prime minister will be the first Iranian to be appointed"
159,Though the colt had been consistently the victor,", none of his rivals had been in his class."," in the Kentucky Derby, he was still a long way"
160,Most of Philip K Dick's works aren,'t hard Sci-Fi in the least.,"'t easily accessible, but one of his most"
161,The FCC should not have come, to the conclusion that they reached., down on the Trump administration any harder
163,Iran's Parliament Questions A, Dismissive Ahmadinejad,"irstrikes in Syria

"
164,Justice did not provide savings, data beyond fiscal year 1997.," under the

Guidelines"
165,uh-huh yeah we've uh we  camped at the DeGray State Park in Arkansas in the fall and there was nobody else hardly, around and it was just really nice that time of year we had taken our electric blanket too just in case it was unbearable but we didn't need it, anybody there the whole time but we were just like we were all alone and it was beautiful and we had a great time and I think that's what
166,"In the storm, the tree fell down and crashed through the roof"," of my house. Now, I have to get it repaired.",", and the wind was so strong that it blew out the windows"
167,"The Episcopal Church, with 2.3 million members, is the American"," branch of the worldwide Anglican Communion, which has 77 million adherents."," branch of the worldwide Anglican Communion.

The Episcopal Church is"
168,"Every day after dinner Mr. Schmidt took a long nap. Mark would let him sleep for an hour, then wake him up,"," scold him, and get him to work. He needed to get him to finish his work, because his work was beautiful."," and then he’d be in the kitchen, stirring the pot or chopping vegetables or whatever, and Mark would tell him to"
169,"they presume their audience won't sit still for a sociology lesson, however entertainingly presented, so they", trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes ," can get going and then walk off.

I'm sure there are many more, but I'm sure"
170,i think by limiting the number of consecutive terms a congressman or senator can hold whether it be a state, congressman or senator or at the national level limiting the two terms and then they've got to sit out one," or federal office, we can limit the number of people who can get elected.

But I�"
171,"The red phycoerytherin pigment is an adaptation to help red algae catch more sunlight in deep water—as such, some red"," algae that live in shallow water have less phycoerytherin in their rhodoplasts, and can appear more greenish."," algae can be found in deep-sea hydrothermal vents.

The red phycoerytherin pigment is an adaptation to"
172,Police spokesman Brig. Gen. Edward Aritonang confirmed Saturday that another two," had been arrested, one in Jakarta and another in Magelang, Central Java."," soldiers were wounded in the attack, but he said the two were not in critical condition"
173,"Since then, the Bronx has always supported the Democratic Party's nominee for President, starting with a vote of 2-","1 for the unsuccessful Al Smith in 1928, followed by four 2-1 votes for the successful Franklin D. Roosevelt.","to-1 in the primary of 1964. In every subsequent primary, the Bronx has voted for the Democratic nominee, and"
174,"But not Fox News Sunday's Jim Angle, who reports, Jiang went toe-","to-toe with Bill Clinton, the smoothest talker in the Western world.","to-toe with Trump on the issue of trade.

Angle: """
175,The tenth series will introduce Pearl Mackie as," Bill, the Doctor's newest traveling companion."," the new series' lead character, and will"
176,"When the sponsors of the bill got to the town hall, they were surprised to", find that the room was full of opponents. They were very much in the majority.," find that they had a lot of questions.

“I have a question"
177,We couldn't find any pictures, of Blind Mello Jello.," of the original, but we found"
