first_seg	second_seg
Sooo Manti Te'o was having a online/phone relationship with a guy pretending	to be a female -_-
this lil girl aint going to win im the king of this	she better fall back ....
He up stairs rights now and I'm down here getting ready its about	to go down nite nite
Shit I Am Who Am..Fresh up out of Apologize..I'm Doing It For SHAQ & My KIDS That's MY ATTITUDE THIS YEAR	OR MOVE THE FUCK AROUND
It's very rare that I get what I want. Now that it has happened I don't plan on	loosing it no matter what
Shout out to nestboy vick he cold n that rapping sht keep drop.n	them tracks im one em
Miami BostonJames Points: 34 Reb: 16 Ast: 7 Stl: 3 Blk: 1 Garnett Points: 24 Reb: 11 Ast:	4 Stl: 2 Blk: 3
"Boy you can say anything you wanna I don't give a shit, no"	one else can have ya
3:05 when that bell ring I'm hunging my bae and running out of PSM by 3:45 I should be at house	then it's turn up time!
Wen u kall a nigga fone n he dont answer dat mean he neva	gave a fuck about it
I aint tryna see no twerk videos on my TL kuz yall	hoes kant twerk fo nun
that was suppose to be a tweet lol I don't how the hell I dm that	to you my bad lol
This group of 5 year olds just tried to holla at me! Lol when I told them how old	I was they scattered lol
Anybody else got one of those TV's where every movie looks super fake? They made these TV's too	"good"" mine is like that"
who made amy dress for the finale the red one at	the end please tell me
Old niggas are foul . This nigga just kiss a stripper	like it was his wife
That kid is GOOD. saw him vs NYR. I'll tell ya as a ranger fan I'm not too excited about seeing him	for the next 10 years.
My onli wish my nigga keith was here to kill shyt I been on some fuck	the world shyt lately nbs
"I JUST WANNA FUCK YO BESTFRIEND FOR ONE NITE ONLI, ONLI AND WHEN I FUCK YO BESTFRIEND U "	BET NOT FUCK MY HOMIE
There is nothing so pitiful as a young cynic because he has gone from knowing nothing to believing	nothing. - Maya Angelou S
I'm Single And Ready To Mingle But At The Same Time	I'm Ready To Settle Down
I know I do but I'm finna go to sleep I'm too tired I been up since 8 this	Mornin no sleep or nap
I Have Not Been Ta Sleep At All. And I'm Not Going Till	My Quat Kum Later On.
Too Many Unloyal People & Not Enough Loyal People ! I Need	Someone Loyal On My Team!
Lets GIVE A ROUD OF APPLAUSE TO THE NIGGAHS AND BITCHES THAT'S REALLY SOFT IN	PERSON BUT HARD ON TWITTER.
"I Get Jealous, I Get Mad, I Get Worried, I Get Curious.But That's Only Because I Love You So Much And I Don't Wanna Lose "	You Nan More Nan Less
"When Kobe gets the ball, he gotta make one move and go. Dont wait for the defense to "	make his shot more difficult.
I really think my kids forgot I had an account. Yep I'm creeping	& not a happy Momma!!!!!!
"Just rounded off the last of my kids bdays, until June!! I'm proud and grateful to God. A don't have much, but we"	"keep it happy, no matter."
Aight let me go ahead and get dressed to this Miguel album .. Y'all continue talking about all the shit y'all not	gone do while I'm gone
"After boyz in tha hood came out, I wonder how many niggas tried shedding some tears and being dramatic to get a girl"	to give up the goods
yes theres also this black female Dr you need to check out.. when i remember	her name ill link you
so he put a status that says lonely up and a model	hoe just hit him up...
The travel channel is blowing me right now with all these American fast food delicacies that have	been turnt up in Asia
So big Boi out here like fuck it Imma hop on all the tracks 3000 calls himself featuring on	and give y'all the remix
Yes I think we should incorporate our outrage in the name.. so that the	bandit knows we mean business
Atlanta fans might as well clock out.. You already know the	"ending to this story ..."""
I agree You know.. this Nev as Intro is taking up precious Google Imaging time.. They	need to cut this bullshit
Is that Oprah interview on right now? ... Cause she tripping if she think we	was gonna pass up scandal
Now niggas dont be surprised also if your woman counts down backwards next time	you say some stupid shit
some people just can't accept the truth but hey he will revisit your tweets in the future when	he's nothing getting the results
I wonder how much the person who is in charge of the	obama twitter account gets paid
And he would have been like oh man my first name is Rod babe ..A.j is a family nickname and what	I prefer to be called
which are A) she was a lesbian for 15 yrs and B) she got an 11 yr old	which means she's had penis
you still may be able to worship at the alter I don't think the doors to the	church are closed just yet
yeah man they still the same just more turnt up now that we all grown and they	can say what they want
This broad worked us out for an hour straight and ain't give not one	water break .. The inhumanity
Frank ocean can probably fight .. He prob been training for the moment to fuck Chris brown up .. Breezy will never love	it down if he lost
Cause a) frank writes passionate songs about men and b) breezy talked a lot of shit in that twitter rant	about odd future he deleted
Now I'm not tripping because it works for me..but all my coworkers keep laughing	at how small it is
So I had to take the big weights off the ends needless to say I dropped a weight and all the	guys came to my aid
"I'm dying laughing. I think I bust a vocal cord laughing so hard. ""... You look horrible "	"tonight"" song of the year. "
"N . Nawll , Boo likee her , shee log in on his phone , she "	dnt like his ugly ass
I walked up to sum nigga disrespectin a female.I told him I might be a Virgin but I kno a pussy wen I see one...#fukk	yhu hittin a lady for
If I can't love yhu like I'm suppose to and yhu rather get beat on by another person why be	with yhu..# yhu deserve better
"If I could grow a perfect pair of breasts, they would"	sit next to my bed.
YESTERDAY I GOT THE SWEETEST TXT FROM A PERSON THAT I THOUGHT	HIS LOVE 4 ME DIED.....
Ok I'm still out here .. Still turnt up .. What's	wrong wit me .. Lol
Want 2 give a special Shoutz 2 my brother from another mother My G 2 the casket drop Happy born	day my G many more..
ummm..do I need to go back & read ur tweets for all this	fuckery i missed earlier?? lol
not sick. Lol just a bit extreme. Nothing's wrong with extra pair of undies when traveling.	But a WHOLE duffle bag!!
Dr Haynes I live in Georgia and I would like to know what time are you on Ricky Smiley show and how can	I hear u more. Thanks
bitch shutt yo clown ass uhpp im dnee tlkin if u gott sum 2 sayy.. Sayy	it to my facee kk
ibknow where u from he said u know him look at my pic I	just up of him bro
i got everything i ever wanted be she makes me better rs she better wake up these lil nigga will	neva get thy weight up
Low key I do miss pat and Maurice staying here with me they use to be	the bid all day everyday
You really can't ever be just friends with someone you used	to be in love with.
everyone lock y'all man up cause will try and take ur man and u will never	know so be careful y'all
"NO ONE is immune from the trials and tribulations of life, if you think you"	"are, just keep on living.... "
"Bad GRAMMER is my Pet PEEVE!!!!!!! EVERYONE needs help from time to time grammatically, but"	that what GOOGLE is for!!!
Ona phn with my grandma an he keep sayn we gon get off the phn now but thn she	keep talkn .! Come on
So apparantly Bey sang/lipped to a pre recorded tape of her version of	the anthem at the inauguration
Love vineyard 7&8! I was supposed to have a tasting/tour there today	but had to cancel :(
"A study in delicious coffee, chocolate, bourbon, gin, pine, & pizza."	Have a good night gents.
If u fuckin with me.... Really fuckin with me u go get sum girls	n bring em to me
He must not know I don't do the bitch word homie..that word causes for a couple	of teeth to go missing..
Mommie asked me to go grocery shopping with her and my grandma... Naw I'm good they be	in the store for hours..
