idx,prompt,prompt_cont,gen0,There are many farms crowding the area,", which all produce milk and pork.",", but the one in the center of"
1,Her father kept bringing her various medical treatments, and ain't nothing done ever worked.,", but she was always too weak to"
3,tin foil hat for the s,"arg, what size u wear?","ultry night.

"""
4,The toaster Tom done bought, from him ain't work.," a new one.

"
5,Where is it a very active tradition of hunting, of small to medium-sized wild game?,"?

I am not sure if I"
6,a rarity among recent iranian films : it's a comedy, full of gentle humor that chides the absurdity of its protagonist plight,", but it's not a comedy.

The film is"
9,The film is not only a love song to the movies but it also is more fully an," example of the kind of lush, all-enveloping movie experience it rhapsodizes", homage to the films that inspired it. The film is a love letter to the films that inspired
10,Either an Analysis that covers a lot, of cases or a very rigorous analysis," of ground, or a short,"
12,": At her subsequent trial, the case against Tulisa collapsed at Southwark Crown Court in July 2014, with the judge commenting that there were ""","strong grounds"" to believe that Mahmood done lied at a pre-trial hearing and tried to manipulate evidence against the co-defendant Tulisa.","no reasonable grounds"" for the prosecution to proceed.

The case was later dropped, and Tulisa was acquitted of all charges.

References"
13,The father carried the sleeping, boy in his arms.," child in his arms,"
14,CCC say ten substantive changes had been, made that would affect record keeping requirements.," made to the bill.

The"
16,"Asphalt/bitumen is used to make Japan black, a lacquer known especially for its use on iron and steel, and it is also used in paint and marker ink by some graffiti supply companies to increase"," the weather resistance and permanence of the paint or ink, and to make the color much darker.[citation needed] Asphalt/bitumen is also used to seal some alkaline batteries during the manufacturing process."," the blackness of their products.

In Japan, the blackness of asphalt/bitumen is achieved by adding a small amount of a black pigment to the asphalt/bitumen. The black pigment is usually"
17,a slam-bang extravaganza is all about a wild,"-and-woolly, wall-to-wall good time.",", sexy, and very dangerous ride.

The film is a"
18,you gotta give the audience a reason, to want to put forth that effort," to come back."" ""I'm"
19,It was a plan that we would visit, Glasgow today but the weathers terrible., the site of the Battle of the Bul
20,Ablright Jewish cousin a, 21 year old man named George.," few years ago, who was a"
21,How many inches of rain, central Nigeria get each year?, have fallen in the past 24
23,"The table was piled high with food, and on the floor beside it it"," was crocks, baskets, and a five-quart pail of milk."," was a pile of empty wine bottles.

""You're not going to"
24,There's a hole in the tarp,aulin which that stone is holding down.,".

The hole is big enough to"
26,Why is stressed out the only popular twenty one pilots song? They," got many other beautiful, why is stressed out the only one?"," are all about the same.

The song is about the"
27,Will image quality be worse if, my lense got more glass?," I use a different camera?
"
28,In the unlikely event the Electoral College throws," the vote, how soon will we know?"," its weight behind Hillary Clinton, the Democratic Party"
29,"It's likely that Tom gon win,", but itain't clear which race., but I'm not sure. I think
32,What effects gon trade sanctions imposed on and by, Russia have on the U.S. economy?, the United States have had on the people of the
33,What NFL teams done won, the most Super Bowl rings?," a Super Bowl?

"
34,"The conventional therapy is counseling or medication, but now there is a new tool,"," one that puts the soldiers through the trauma again, only this time in virtual reality.", the Internet. The Internet is a global network of computers and computer networks that are linked
35,How does the process in which Japanese grow, watermelon differ from the process Koreans use?, their own food differ from that of the West
36,This theory captures that arrows, don't stop in midair, are the most important part of
38,A tan dog licked a, girls hand while laying down., piece of meat from the floor
39,What basic difference is it between the, teams of Barcelona and Real Madrid?," two?

A:
"
40,Who released a guideline that recommends that, people follow a whole plant food diet?, all women who are pregnant should be screened
43,It prove that John was, lying that he left town., not the only one who was
44,"this a shameless sham, calculated to cash", in on the popularity of its stars.," in on the ""fear"" of"
45,"Can I abscond from work, I been working in a company for"," only 2 months, and I think I ain't a perfect fit here?", the past 10 years. I have been working in the same company for the
46,you got no remains of an, A- at the pentagon.," old man, and the body is"
47,"In the United Kingdom, BBC Radio 5 Live", and 5 Live Sports Extra gon carry the contest., is the national broadcaster for the UK. It is
48,The Islington police said they started receiving phone, calls only minutes after the objects started appearing., calls from people who had been in the area
50,What the most interesting products and innovations Bank, of America is coming out with in 2016?, of America has seen in the past year are
51,"We got no idea about a time between roughly 300,000 and 1"," billion years after the Big Bang, when the universe was very hazy.",".5 million years ago, but the evidence is mounting that the earliest humans"
52,It ain't until the 1930s that the, Supreme Court held a delegation of authority unconstitutional., first commercial radio station was established in the United
53,The company gon offer songs for 99 cents, and albums for $9.95.," a song.

I'm not"
54,Who done tried self hypnosis,? And how it work?,"?

I have been"
55,Google search for Travel WODs gotta, whole lots of results which you can use," be a good thing.

I"
57,"The other, al-Azhar, acquire this status in name and essence only in the course of numerous reforms during the 19th and 20","th century, notably the one of 1961 which introduced non-religious subjects to its curriculum, such as economics, engineering, medicine, and agriculture.","th centuries.

The other, al-Azhar, acquire this status in name and essence only in the course of numerous reforms during the"
59,Is it sure that I will get my class, 12 improvement admit card delivered to my address?,"?

A:

You can"
60,I don't believe it was any, iceberg at all anywhere near the Titanic., of the above. I think it was
61,Financial firms now offer internally focused, products that improve business success.,", high-quality, and"
62,"Frank may done told Chet,"," and Joe may have, too."," ""I'm gonna get you a"
64,Most columnists claim that a senior, White House official been briefing them., member of the Trump administration is a
65,to convince the audience that these br,ats gon ever be anything more than losers,"ides are not just a bunch of
"
68,got a shambling charm... a, cheerfully inconsequential diversion.,"

I have a friend who"
69,Whats some topics you just cant ignore, while preparing for iit jee?,"?

I have been reading a"
70,About half of all U.S,. households got money in mutual funds.,". adults have a chronic condition, and"
72,"They also presented Jesus –  ""As it is written in the law of the Lord, Every male"," openeth the womb shall be called holy to the Lord"" (Luke 2:23other verses)."," among you shall be circumcised."" (Matthew 22:18)

Jesus' disciples were to be"
73,Dropbox Mobile use mobile data? Is it, any setting so that it sync only on WiFi?," possible to use mobile data on Dropbox?

"
74,It was a fine selection, of Goethe writing.," of wines, and a"
75,"the chateau belong to rudd, whose portrait of a therapy-dependent", flakeball spouting french malapropisms... a nonstop hoot.,",

self-obsessed, self-destructive, self-obsessed"
77,If checks aren't written to Indiana University," Foundation, there's gonna be an issue.","'s computer system, the university's computer system"
78,"While local cab drivers had compliments, not everyone appreciated the", company. The Brewers had lost their game the following day," new rules.

“I’m"
79,During the 1950s deyre was a citywide festival called, Fiesta del Pacifico highlighting the areas of Spanish and Mexican past," the ""Festival of the Dead"" that was held in"
80,Prime Minister Allawi gon return to Iraq, in time for the country national conference.,"

Prime Minister Allawi returned to"
81,It's more difficult to find a job in a city I don't live in than a," city I do live in, even if I'm willing to pay my own relocation costs?"," job I do. I'm not sure why.

I'm not sure if I"
82,Latin and Euro-American rhythms, both present in discos.,", and the influence of the"
84,There's been much puzzlement among, critics about what the election symbolize., the general public about the recent announcement that
85,"""With Leukemia"" is a website bringing parents together world",-wide to share experiences on caring for children who have leukemia.,"-wide to share their stories of fighting Leukemia.

"
86,at the state scientific center of applied microbiology there is every kind of deadly bacteria that,was studied for use in the secret biological weapons program of the soviet union.," can be found in the human body.

The bacteria that cause the most serious"
87,"In the early Olympic games, athletes used to run a mile and then recite a poem. The first poet-in-residence of an English football team, Ian McMillan, remarked that football chants are like huge tribal poems. Generally, though, sport and poetry done never seemed natural companions in human enterprise. Until the New York Mets baseball team suffered in 2007"," arguably the worst collapse in Major League Baseball history. To describe the anguish fans felt, The New York Times turned to a poet, Frank Messina. ""wasn't nothing really representing the fan point of view,"" Messina told Wikinews reporter David Shankbone in an interview. ""it's a lot of hurting people out there can't express what happened.""",", the Mets had never won a World Series.

The Mets had won the National League East in 2004, but the team was not a perennial contender. The team had been in the playoffs only once since the mid-1990s, and that was in 1998, when the Mets had won the World Series. The team had been in the playoffs only once since"
88,My meeting started at 4:00 and I needed to catch the train at 4:30,", so there wasn't much time. Luckily, it was delayed, so it worked out.",. I was so excited to see my friends and family. I was so excited to see my
89,From what I'm seeing it's generally accepted that most English, speakers got a vocabulary size of 15000 to 20000 words.," speakers don't know what a ""dictionary"" is.
"
91,Blair sorry for anyone done, lost their lives in Iraq.," wrong

Theresa May"
92,The college coaches got the most responsibility to decide," which players got a problem, not the NCAA", the fate of the game. The coaches were
93,"There is a total of 12,800 Buddha statues here, plus", the remains of the monastery founder embalmed in gold leaf.," a few more in the temple complex.

The temple is"
94,and EDS is very particular about this hair cuts i mean it was like you can,'t have you know such and such facial hair no beards you know and just really detailed,'t have a hair cut without a beard and i mean i'm not saying that it's
96,I put the cake away in the refrigerator., It got a lot of butter in it., I was going to take it out and put
97,What traditional schooling done been considered modeled, after the traditional Islamic graduate schools?," on the model of the

"
98,Participation in the Premier League by some Scottish or," Irish clubs done sometimes been discussed, but without result.", English clubs has been a long-standing tradition. The
99,Anson thought he, bought the paint stripper, was going to be a
100,"Jane knocked on Susan's door, but", there was no answer. She was out., Susan didn't answer. She was in the
101,"I finished a web intensive program, and I've been looking for a job in web development.", I realize I don't really know web development work environment. How can I get this experience?," I've been looking for a job for a while now, but I haven't found anything that"
102,"Michael said that Pinochet been came to Britain with a passport do not require no visa, and it likely that he may done presented, supported"," with evidence, medical reasons for requiring treatment and therefore, it was no reason for immigration authorities to prevent him from entering the country upon his arrival."," and supported by the British government.

The British government has been very supportive of Pinochet, and the British government has been very supportive of"
106,Ebola Epidemic, break out in Zaire.," in the United States

"
107,"On Sunday Memoirs: 1939-1993 a memoir written by former Prime Minister of Canada Brian Mulroney gon be released. The 1,152 page tome outline Mulroney version of events during his time as prime minister. CTV gon broadcast a documentary on Brian Mulroney on the eve of his book launch. In addition, the"," network plan to air Triumph & Treachery: The Brian Mulroney Story on Sunday, CTV say the 90-minute special gon be the most complete interview the former prime minister done ever given and his first comprehensive interview since leaving office in 1993. The Quebec French language TVA network gon air a similar documentary exclusively in French later that night."," book is being released in a limited edition of 1,000 copies.

The book is being released in a limited edition of 1,000 copies.

The book is being released in a limited edition of 1,000 copies.

The book is being released in a limited edition of 1,000 copies.

The book is"
108,uh no uh no no i do have a place, that's rusting I need to get something on it," to stay, but i'm not sure if i can"
110,"In particular the Shiva Sutras, an auxiliary text to the Ashtadhyayi, introduce what can be considered a list of the phonemes"," of the Sanskrit language, with a notational system for them  that is used throughout the main text, which deals with matters of morphology, syntax and semantics."," of the Sanskrit language. The phonemes are arranged in a table, with the vowels in the first column, the consonants in the second, and"
111,After Hedges microphone was unplugged for a second time,", Pribbenow told him to wrap up his speech.",", the crowd erupted in cheers.

“I�"
113,"Government forces killed the head of the Armed Islamic Group, or GIA",", which done claimed responsibility for killing 61 foreigners in the last year.",", in a raid in the northern city of Aleppo on Wednesday, according"
114,"The ACS, developed jointly by four American agencies, was installed in March of 2002. It's a system of three cameras, filters, and dispersers which act to detect wavelengths of"," light ranging from near-infrared to ultraviolet. It's a system was designed to last five years, according to Preston Burch, associate director and program manager for the Hubble Space Telescope"," light that are invisible to the human eye. The system is designed to detect and identify the presence of explosives, chemical agents, and biological agents.

The system is capable of detecting"
115,Grandma done set a place for Mary; and once Mrs.," Wyman was seated, she pulled her, protesting, to it.","

Bennett had been in the room, she had been so"
116,Exclusive-UPDATE 2-Egypt pro,-Mursi alliance signal flexibility in talks,"-democracy protesters clash with police in Cairo
"
117,Microsoft gon stop developing versions of its Internet Explorer browser software for," Macintosh computers, saying that Apple Safari is now all Apple need"," Windows 8.1, Microsoft has announced.

The"
118,The thief who was seized by the, police turned out to be our cousin., police in the early hours of the morning
119,Mr Sahel said police done identified the bodies of seven of the 14-,strong cell believed to done carried out the five almost simultaneous attacks on Saturday.,year-old boys and arrested the 14-year-old boy who was
120,"After a somewhat lengthy conversation, Nancy convinced the housekeeper it was no immediate cause for alarm. She did not"," mention no incident at the Hamilton bus station, knowing it would only add to Mrs. Gruen uneasiness."," want to be the one to tell her husband.

""I'm not sure what you mean,"" he said"
121,Rick Dinon the senior vice president, of 20th Century Insurance Co., of the National Association of Realt
122,Nations like Israel and, Australia already got such status., the United States have been at
123,"Has anyone ever gotten to middle age, had little experience but ain't", happy with what they was doing for an occupation the last 25 years?," no one to tell you what to do?

I'm not"
125,Muriel got a famous painting of a ballerina by Cec,ile d'Arblay hanging in Muriel living room.,"ilia Beaux-Arts, and she was so taken with"
126,A higher price was paid for beer in the snug, and couldn't nobody look in and see the drinkers.,", and the men drank it in silence.

"
127,John think that it is appropriate for it to, be a picture of himself in the corridor.," be a

The

The
"
128,"Aside from Walpole, who else denied that", it was no such thing as the prime minister?," he had ever been in the
room?
"
129,How Alexis de Tocqu,eville describe the French Revolution?,"eville was a great man
"
130,Who Bill said Frank claimed that Mary seem, to have been likely to have kissed?, to have been a very good friend of
131,"During the weekend of Sunday 28 December the 75 year old children clothes retailer, Adams Childrenswear called in administrators PricewaterhouseCoopers. Adams done previously been placed in administration with PricewaterhouseCoopers in 2006, but was rescued by Northern Irish businessman John Shannon in February 2007. A large rebranding followed in 2008, after 42 stores was"," closed. Adams got outlets worldwide in places such as Saudi Arabia, and also make clothing under the Mini Mode brand for Boots. At the time of the 2008 administration dey was 260 stores in the UK and 116 outlets overseas, employing around 2000 people. Adams is reported to owe around £20 million to Mr Shannon and £10 million to Burdale."," closed.

The company was founded in 1885 by John Adams, who was a former soldier and a former member of the Irish Republican Army. Adams was a member of the Irish Republican Army and was imprisoned in the Maze Prison in Northern Ireland.

The company was founded in 1885 by John Adams, who was a former soldier and a former"
132,"I am in a relationship with a girl. She want to spend her whole life with me. I love her too, but I ain't sure whether I'ma marry her."," If I told her about my unsureness about marriage, she would definitely leave me. I don't want to lose her. I am very confused. Can anyone give me any suggestions?", I don't know what to do. I'm not sure if I should tell her or not. I don't know what to do. I'm not sure if I should tell her
134,Which foods are safe to, eat that have freezer burn?," eat?

The answer"
135,"Stars are rotating, but thatain",'t no cause for their stability.,"'t the whole story.

"
136,What it feel like to see a, girl orgasm for the first time?," new car?

I�"
137,"What If I join for any CGL posts, would I", able to live a good retirement life after my tenure over?, be able to see the CGL posts I have joined?
141,What government set standards, all schools gotta meet?," for the internet?
"
142,"Three years ago, Anurag was thrice as old as Bhargav was. Two years hence",", Anurag age gon be twice that of Bhargav age. What is the present age?",", he was twice as old as Bhargav was.

Anurag was a boy of"
143,I think you gotta apply a, little statistical thinking to this., little bit of pressure to get
145,"In 2001, El Salvador adopted the U.S. dollar as its currency,", while Panama done used it for decades due to its ties to the Canal Zone., replacing the bolivar. The country's economy has been in a state of
147,What is it besides degrees, of similarity with Occitan?," and diplomas?

"
148,"But the point is, do", anyone here go by Rita?, you think that the people who
149,Mary took out her flute and played one of her favorite, pieces. She has loved it since she was a child.," songs, ""I'm Gonna Getcha Good.""
"
150,How many players on the Barel,ona team done scored over 100 goals?,vis team have been on the team for
