index,txt
0,[' to be his sister who']
1,[' earth!!\n\nthe']
2,"["" 4:15 I'm""]"
3,[' TO GET HIM TO DO']
4,['\nnot giving up all']
5,['\n\nTinag']
6,[' 8 Stl: 3']
7,[' matter how you wanna say']
8,[' for dinner time and see']
9,[' stop he nt be']
10,[' isnt real no how']
11,[' out lol\n\n(']
12,[' I am. They were']
13,[' like 5 or 6 or']
14,[' the moment of her\n']
15,['. This nigga is']
16,[' in the post. I']
17,"[""'s shit like that but""]"
18,"['!"" ""WAT\'']"
19,"[' everything, and he knows']"
20,"["" I'm Not In A""]"
21,[' morning. All I know']
22,"[' I Do, Even When']"
23,[' More Workers For My Business']
24,[' THEIR BUTT PIES']
25,['     ']
26,['******** you. You ****']
27,[' on her. I didn']
28,[' are getting along.\n']
29,"[' been talking about, the']"
30,"[' out, but when the']"
31,[' her face she was a']
32,[' for\none who likes']
33,[' been making a big splash']
34,[' this bitch\n\nBig']
35,[' whole story is taken into']
36,"[' outcome, it will happen']"
37,[' have some excellent sites for']
38,"["" don't know the answer""]"
39,[' she catches you in the']
40,[' his back is against the']
41,['\naccount has to deal']
42,[' about Rod?\n\n']
43,[' daughter and C) she']
44,[' main sanctuary are opened to']
45,"["" don't have a chance""]"
46,[' single second of it to']
47,[' him as much as she']
48,"[', but then when it']"
49,[' at me...they laugh']
50,[' weight went to the bottom']
51,"['?"" ""The usual,']"
52,['ieter s ither']
53,['couk pic.twitter']
54,[' me?\n\nL']
55,[' be perfect for me.']
56,[' MIGHT GET A B']
57,"["" up\nI'm still""]"
58,[' My F 2 the special']
59,[' & all this is about']
60,[' LOL!\n\nYes']
61,[' I make a guest on']
62,[' is dead.. and your']
63,[' am from bengal']
64,[' be able to think ab']
65,[' able to get the best']
66,[' to\nbe in a']
67,[' get him out\n\n']
68,[' know how to handle them']
69,[' not everyone knows what it']
70,[' gon say the phn']
71,"[' ""In the Summertime']"
72,[' (it was also supposed']
73,['\n\nIt’']
74,['....\n\nWhen I']
75,"["" of problems i'm sure""]"
76,[' leaving soon that is why']
77,['\nthat was never yours']
78,[' bitch name they know a']
79,"["" let y'all know""]"
80,[' my cock in u mouth']
81,['\n\nAnd then just']
82,['\nwaiting for Him']
83,['.\n\nTired']
84,[' last year and the last']
85,[' would go the giv']
86,['\nto hand as she']
87,[' to pull out my check']
88,['.\n\nWhat you']
89,[' off.\n\nI']
90,[' some pictures with my digital']
91,"[""'s had all her teeth""]"
92,[' stays with her and you']
93,"[' on the hanger,']"
94,[' I got used to it']
95,[' brilliant piece. A lot']
96,"[""'m black. No matter""]"
97,[' pay for all food services']
98,"["" i can't accept us""]"
99,[' season opener for a UK']
100,"['\n\nSaturday, July']"
101,"[' see doe, im']"
102,[' you got one?\n']
103,"[' top"" well well I']"
104,"[' next in \'06.""']"
105,[' sure I could tell you']
106,['...\n\nYou all']
107,"[' them fast, and then']"
108,[' bags\n\nI used']
109,[' her drink she call me']
110,[' an a$$load of']
111,[' TO LEAVE THIS']
112,[' i was able to get']
113,[' had been delayed. I']
114,[' self with the intent of']
115,[' even come close to making']
116,"["" series, and didn't""]"
117,[' in a T-shirt']
118,[' thru it. I had']
119,[' and let her know she']
120,"[' her fingers first."" ""']"
121,[' it past the freshman hoop']
122,[' my bad day but this']
123,[' the best of the top']
124,[' the master n to send']
125,[' as a rival actually become']
126,[' may have had to abandon']
127,"[' naps,”']"
128,[' your words. Not only']
129,"[' dealing with this dealership,']"
130,['\n\t\t *\n']
131,"["" to think they're going""]"
132,[' fucking shoes that are made']
133,['in like crap\n\n']
134,"[', you have an issue']"
135,[' done.  Thanks for']
136,[' for the devil.\n']
137,[' for free if u buy']
138,[' do our techs?']
139,[' those moves.\n\n']
140,"[' THINGS, its always']"
141,['3 years..3 years']
142,[' the title of oldest.']
143,"[' get the same ""I']"
144,['station....I hate the']
145,[' thing.\n\nThat']
146,[' the mail? It�']
147,"["", it's all good""]"
148,[' then she starts to fuck']
149,[' that a guy with great']
150,['nt in 2nd or']
151,"[' any better?""\n\n']"
152,[' the F in frick']
153,[' husbands here seem in complete']
154,[' and shouting at a male']
155,['st night he would try']
156,"[' as well, but i']"
157,"[' you are black, not']"
158,[' could all use a bit']
159,[' why they will make you']
160,['nt be built...no']
161,[' to ur 3 kids from']
