label,text
1, R.Kelly bout 50 ain't it ?
0," R. Kelly's 50, right?"
1, I think Dominicans mean loud music loud taking and good cooking
0, Dominicans think loud music and good cooking
1," If I offend u, u a pussy. So fuck u"
0," if I offend you, you're a pussy."
1, My outfit tomorrow ???  ^_^
0, tomorrow's gonna be my outfit?     
1, The bottom of the coffee be nasty
0, the coffee is a little dirty.
1, I want it to b back right... Kuz da way it is not the move
0, it's not the move I want.
1, I just April Fool's them lmao 
0," I'm just kidding them, April Fool's them."
1, Charley Sheen in my joint already.
0, I already have Charley Sheen.
1, Vacation in less than a week! Ayeee!
0, we're on vacation for a week!
1, Gotta go to my bby grave before dhs week is ova
0," before the week of the funeral, I have to go to my friend's grave."
1, Relationships would be a hell of alot better and last alot longer
0, relationships would be much better and last much longer.
1," Are you expecting to hear from God or see Him at work today? If not, why not?"
0," if not, why not?"
1, Good morning tweople ...
0," hello, everyone...... good morning."
1, Sheesh I member me and Rez use to text everyday that's was bae
0," sheesh, I'm a member of the Rez and I'm still using it."
1, The tools that you sharpen today will be the weapons that you use tomorrow! #AMEN
0, tomorrow's weapons will be the tools you use to sharpen them!
1, Still eating leftovers and killing my diet...
0, still eating the leftovers and killing my diet...
1, To be well Somebody gotta be sick
0, someone must have been sick of someone.
1," People Who Dont Have It Now , will have it later"
0," people who don't have it, they'll have it."
1," Like , I know you miss me but .."
0," as you know, I'm missing you."
1, The magic school bus was my show!!
0, I'm the magic bus!
1, I dont take threats to kindly....
0, I'm not taking a threat lightly...... I'm not taking
1, I never come around but I'm always with tidy and Malik though ?
0," I'm always with clean and Malik, even if I'm not?"
1, ona hood the Lord said i could do it
0, the Lord said I could do it.
1, Lmaooo Dutchess really abusing her box powers
0," oh my God, Dutchess is abusing her powers."
1, These Niggas Throwing Slick Shots I'm Direct !
0, I'm gonna throw a bunch of shots like that!
1, Why Yall In Khalina Ask.fm Talking Bout Me  Terri Common Now
0, why You're asking me to talk to you and Terri.
1, Yea Yea Go Lmp Nowwww
0," yes, you're gonna be Lmp Nowwww"
1, Niggas With Dreads  Can I Twist Your Locks? ;)
0, Niggas with dreadlocks  Can I lock you?
1, Same type of hoe that turned me right into a savage
0, the same kind of hoe that turned me into a wild animal
1, Toonk Told You What iSaid ?
0, Toonk Said What I Said?
1, I Don't Know What I Wanna Do With My Life Smh
0, I'm not sure what I'd like to do with my life.
1, Old joints always trying to smatch
0, old joints always try to catch up
1, Got distracted last night and went to sleep and then left my lunch at Byrons house
0, I was distracted by the night and I fell asleep.
1, np. I hope u find 1 u admire. What kind of tees r u trying to add to ur collection?
0, I hope you're trying to add to your collection what you admire.
1, I respect the keneshia for that message doe
0, I'm glad the message is from Keneshia.
1, If you ain't dead or famous they don't care about you
0," if you don't die, they don't care about you."
1, Guess i can get up  put some clothes on now that it stopped rainin
0," now that the rain stopped, I guess I'll go to the bathroom."
1," If it ain't Asia , Ian fuckin with it ."
0," if it's not Asia, Ian's gonna fuck it."
1, My Manzzz Had My Meds!! #HighLife
0, # My Manzzz's got my meds!
1, Nap time is calling my name
0, I'm calling my name for nap time.
1," All my family from down south, I got country in my blood"
0, I have a blood in my family from the south.
1, Im tryna get so much money 2 whr i can fucc my teacher nem..
0, I want to get a lot of money for my teacher.
1, Thought I was going to happy hour with my main squeeze but that's dead
0," I thought I'd have a good time with my main squeeze, but it's not."
1,  If doodle don't stfuleave my nephew alone
0," if you don't mind me, my nephew's not gonna be happy."
1, I'll Give Her the World Long as She Gone Give it Back 2 me
0," as long as she's gone, I'll give her the world."
1, Oregon and that no huddle offense vs hats nose d by Bama ! Oh that game would be good !
0, Oregon and the hat-nose defense!
1, It feel good this morning
0, it's a good morning for me.
1, really stop it you kno how we rock at rock stop it
0, you know how we're doing at the rock stop
1, I Use To Think They Were Ugly .
0, I've been thinking about them as ugly.
