index,prompt,prompt_cont,gen0,['It is many farms crowding the area'],"[', which all produce milk and pork.']",[' between the city and the river known as']
1,['Her father kept bringing her various medical treatments'],"["" and ain't nothing done ever worked.""]","[' to use for herself. ""He was']"
2,['The president'],[' gon run.'],[' of the American']
3,['tin foil hat for the s'],"['arg, what size u wear?']",['ousvide.\n\nAnd']
4,['The toaster Tom done bought'],"["" from him ain't work.""]","[' a new toaster, or']"
5,['Where is it a very active tradition of hunting'],[' of small to medium-sized wild game?'],"[' of wild hogs?"" ""I\'m a']"
6,"[""a rarity among recent iranian films : it's a comedy""]",[' full of gentle humor chide the absurdity of its protagonist  plight.'],"[' of manners, but not without a tinge of bitterness"". \n']"
7,['Bill very'],[' compassionate.'],[' likely will']
8,['It is additional reporting'],[' standards for financial audits.'],[' time!\n\nOn']
9,"[""the film ain't only love no song to the movies but it also more fully an example""]","[' of the kind of lush, all-enveloping movie experience it rhapsodize']",[' of pop/classicism\nin their ability and tendency to give the audience some time to']
10,['Either an Analysis cover a lot'],[' of cases or a very rigorous analysis'],[' of ground but I just did the']
11,['Girl stand in subway'],[' waiting on something.'],"[' station, holding up']"
12,"['At her subsequent trial, the case against Tulisa collapsed at Southwark Crown Court in July 2014, with the judge commenting that dey was ""']","['strong grounds"" to believe that Mahmood done lied at a pre-trial hearing and tried to manipulate evidence against the co-defendant Tulisa.']","['failing... as any defence she offers is not strong enough to make it stick"".\n\nFollowing the acquittal, Tulisa was sentenced to 10']"
13,['The father carried the sleeping'],[' boy in the father arms.'],[' boy to the far side of']
14,['CCC say ten substantive changes done been'],[' made would affect recordkeeping requirements.'],[' in the offing – and we']
15,['People was killed in'],[' a collision between ships.'],[' a blast at an Indian']
16,['Is dey any pharmaceutical entrepreneurs can explain their'],"["" business' briefly and how they get there?""]",[' reason for doing it like this. Even if']
17,['How brave I know'],[' a boy is!'],"[' you have been!""']"
18,"['Asphalt/bitumen is used to make Japan black, a lacquer known especially for its use on iron and steel, and it is also used in paint and marker ink by some graffiti supply companies to increase']","[' the weather resistance and permanence of the paint or ink, and to make the color much darker.[citation needed] Asphalt/bitumen is also used to seal some alkaline batteries during the manufacturing process.']","[' its permanence indoors. Used as street-side and pavement-side material, it is also used on sidewalks, pavements, and other pedestrian surfaces. Used on roofs, and on some non-load bearing floor']"
19,['a slam-bang extravaganza is all about a wild'],"['-and-woolly, wall-to-wall good time.']","["" time in Australia. A time of rock 'n' roll, of""]"
20,['you gotta give the audience a reason'],[' to want to put for that effort'],[' to want to go to that place']
21,"['woody allen  latest an ambling, broad comedy about all']",[' dey is to love -- and hate -- about the movie biz.'],[' the things which do not want to see in America and their reasons why in']
22,['It was a plan that we would'],[' visit Glasgow today but the weather terrible.'],[' find an appropriate place. In spite of']
23,['Ablright Jewish cousin a'],[' 21 year old man named George.'],[' rabbi at the temple on a weekend']
24,['How many inches of rain'],[' central Nigeria get each year?'],[' falls in a gallon of water']
25,"[""it ain't""]",[' scary in the slightest'],[' any too smart.']
26,"['The table was piled high with food, and on the floor beside it it']","[' was crocks, baskets, and a five-quart pail of milk.']",[' was a pile of bags of flour. The man who had brought the food was']
27,"[""Dey's a hole in the tarp""]",['aulin which that stone is holding down.'],"["". It's coming along fine - the rain""]"
28,['Donald Trump actually care'],[' about the United States?'],['lessly tweeted out this morning']
29,['Why is stressed out the only popular twenty one pilots song? They'],"[' got many other beautiful, why is stressed out the only one?']","[' need a song of\nexplanation? I mean, its']"
30,['Will image quality be worse if'],[' my lense got more glass?'],[' you switch between iPhone and Android?']
31,['In the unlikely event the Electoral College throw'],"[' the vote, how soon gon we know?']","[' it out, it would be their first presidential']"
