index,prompt,prompt_cont,gen0,['There are many farms crowding the area'],"[', which all produce milk and pork.']","[' of the city, but it’']"
1,['Her father kept bringing her various medical'],[' treatments and nothing had ever worked.'],"[' texts, which she found fascinating,']"
2,['The president'],[' will run.'],[' of the United']
3,['tin foil hat for the sarg'],"[', what size do u wear?']","['ent\'s head. ""I\'ve']"
4,['The toaster Tom had bought'],"["" from him didn't work.""]",[' in the store was a real']
5,['Where is there a very active tradition of hunting'],[' of small to medium-sized wild game?'],[' and fishing in the area of the present town']
6,"[""a rarity among recent iranian films : it's a comedy full""]","["" of gentle humor that chides the absurdity of its protagonist's plight.""]",[' of comedy.\n\nThe film is directed by Hassan Khazaie and']
7,['Bill is'],[' very compassionate.'],[' a good guy']
8,['There are additional reporting'],[' standards for financial audits.'],[' requirements for the EHR']
9,['the film is not only a love song to the movies but it also is more fully an example'],"[' of the kind of lush, all-enveloping movie experience it rhapsodizes ']",[' of the way a film can be made.\n\nThe film is directed by the young British']
10,['Either an Analysis that covers a lot'],[' of cases or a very rigorous analysis'],"[' of ground, or a detailed analysis']"
11,['Girl stands in subway'],[' waiting on something.'],"[' car, waiting for']"
12,"['At her subsequent trial, the case against Tulisa collapsed at Southwark Crown Court in July 2014, with the judge commenting that there were ""strong']","[' grounds"" to believe that Mahmood had lied at a pre-trial hearing and tried to manipulate evidence against the co-defendant Tulisa.']","[' grounds for suspicion"" that the prosecution had been ""inappropriately influenced"" by the defendants\' lawyers.\n\nThe case was transferred to the High']"
13,['The father carried the sleeping boy'],"["" in the father's arms.""]","[' to the door. ""I']"
14,['CCC says ten substantive changes have been'],[' made that would affect recordkeeping requirements.'],[' made to its anti-money-l']
15,['People were killed in'],[' a collision between ships.'],[' the attack.\n\n']
16,['Are there any pharmaceutical entrepreneurs who can explain their'],"["" business' briefly and how did they get there?""]",[' business and the challenges they face?\n\nThere']
17,['How brave I know'],[' a boy who is!'],[' you are!\n\n']
18,"['Asphalt/bitumen is used to make Japan black, a lacquer known especially for its use on iron and steel, and it is also used in paint and marker inks by some graffiti supply companies to increase']","[' the weather resistance and permanence of the paint or ink, and to make the color much darker.[citation needed] Asphalt/bitumen is also used to seal some alkaline batteries during the manufacturing process.']","[' the black colour of the ink.\n\nIn the US, black is often used for industrial applications such as in the production of cellulose and nylon.\n\nIn the United Kingdom, black is used in the']"
19,['a slam-bang extravaganza that is all about a wild'],"['-and-woolly, wall-to-wall good time. ']","[', beautiful, and\ndangerous road trip.\n\nWhen I first']"
20,['you have to give the audience a'],[' reason to want to put for that effort'],[' chance to see it”.\n']
21,"[""woody allen's latest is an ambling, broad comedy about""]",[' all there is to love -- and hate -- about the movie biz. '],[' a group of misfits who go on a road trip to visit their old school']
22,['There was a plan that we would visit'],[' Glasgow today but the weather is terrible.'],[' a new place called the “W']
23,"[""Ablright's Jewish cousin is""]",[' a 21 year old man named George.'],"[' a self-described ""Christian Zionist""']"
24,['How many inches of rain does'],[' central Nigeria get each year?'],[' it take to turn the average']
25,"[""it's not""]",[' scary in the slightest'],[' just the\n\n']
26,"['The table was piled high with food, and on the floor beside it there']","[' were crocks, baskets, and a five-quart pail of milk.']","[' was a huge pile of food.\n\n""I\'m going to go and']"
27,"[""There's a hole in the tarp""]",['aulin which that stone is holding down.'],"[', and a man is trying to crawl through']"
28,['Does Donald Trump actually care'],[' about the United States?'],[' about the American people?']
29,['Why is stressed out the only popular twenty one pilots song? They'],"[' have many other beautiful, why is stressed out the only one?']","[' should start with ""I\'m on a mission"" and then add']"
30,['Will image quality be worse if'],[' my lense has more glass?'],[' the camera were a bit bigger?']
31,['In the unlikely event that the Electoral College throws'],"[' the vote, how soon will we know?']","["" a wrench in the Electoral College's plans,""]"
32,"[""It's likely that Tom will win,""]","["" but it's not clear which race.""]","["" but it's still a big win for""]"
33,['World sends emergency'],[' relief to battered Philippines'],[' alert for deadly virus']
34,['How will I improve'],[' my spoken English?'],[' my English?\n']
35,['But metaphysical implications seem to have interested him less than enforcing a moral example to'],"[' unite his far-flung subjects in peace and fellowship, under him.']",[' his disciples.\n\nThe most famous of these is probably the story of']
36,['What effects will trade sanctions imposed on and by'],[' Russia have on the U.S. economy?'],[' Iran have on the economy? What will happen to']
37,['What NFL teams have won'],[' the most Super Bowl rings?'],[' the Super Bowl?\n\n']
38,"['The conventional therapy is counseling or medication, but now there is a new tool,']","[' one that puts the soldiers through the trauma again, only this time in virtual reality.']","[' an artificial intelligence (AI) based system, which can quickly diagnose and treat patients.']"
39,['How does the process in which Japanese grow'],[' watermelon differ from the process Koreans use?'],[' their own food meet the needs of the local']
40,['This theory captures that arrows don'],"[""'t stop in midair.""]","[""'t go in the same direction""]"
41,['John is as tall'],[' as that man is.'],[' as the other two.']
42,['A tan dog licks a'],[' girls hand while laying down.'],[' dog.\n\nThis is']
43,['What basic difference is there between the'],[' teams of Barcelona and Real Madrid?'],[' two?\n\nA:\n']
44,['Who released a guideline that recommends that'],[' people follow a whole plant food diet?'],[' women be allowed to wear a bra that']
45,"['Many early immigrant groups traveled to America to worship freely, particularly']",[' after the English Civil War and religious conflict in France and Germany.'],"[' in the cities. The first settlers were Catholics, Lutherans,']"
46,['What is the best'],[' trading platform for beginners?'],[' way to get into the']
47,['Reform allows'],[' home schooling.'],[' for a new']
48,['It proves that John was'],[' lying that he left town.'],[' right.\n\n“']
